,Accuracy,F1 macro,F1 weighted
mlp_emb,0.6814814814814815,0.6790926320777066,0.6779853817333087
random_forest,0.6444444444444445,0.6428703365404133,0.6417499860921286
cnn,0.6370370370370371,0.6346343623481782,0.6334094316989053
knn_librosa,0.6,0.5908220555898326,0.5895726362172679
mlp,0.5703703703703704,0.5715813226358327,0.5704280529718557
knn,0.5777777777777777,0.5699221315320386,0.5688806190560576
lstm,0.4740740740740741,0.4613099361194489,0.4597887751524325
